class_name,class_description,method,method_description
com.dropbox.core.json.JsonReader,"If you're implementing a JsonReader for a JSON object, you can use this to map
 field names to a number you can switch on to efficiently locate assign a
 field.",readUnsignedLong(com.fasterxml.jackson.core.JsonParser parser),N/A
com.dropbox.core.json.JsonReader,"If you're implementing a JsonReader for a JSON object, you can use this to map
 field names to a number you can switch on to efficiently locate assign a
 field.","readUnsignedLongField(com.fasterxml.jackson.core.JsonParser parser,
                     String fieldName,
                     long v)",N/A
com.dropbox.core.json.JsonReader,"If you're implementing a JsonReader for a JSON object, you can use this to map
 field names to a number you can switch on to efficiently locate assign a
 field.",skipValue(com.fasterxml.jackson.core.JsonParser parser),N/A
com.dropbox.core.json.JsonReader,"If you're implementing a JsonReader for a JSON object, you can use this to map
 field names to a number you can switch on to efficiently locate assign a
 field.",validate(T value),N/A
com.dropbox.core.json.JsonReader.FieldMapping,"If you're implementing a JsonReader for a JSON object, you can use this to map
 field names to a number you can switch on to efficiently locate assign a
 field.",get(String fieldName),N/A
com.dropbox.core.json.JsonReader.FieldMapping.Builder,N/A,"add(String fieldName,
   int expectedIndex)",N/A
com.dropbox.core.json.JsonReader.FieldMapping.Builder,N/A,build(),N/A
com.dropbox.core.json.JsonReader.FileLoadException,N/A,N/A,N/A
com.dropbox.core.json.JsonReader.FileLoadException.IOError,N/A,N/A,N/A
com.dropbox.core.json.JsonReader.FileLoadException.JsonError,N/A,N/A,N/A
com.dropbox.core.json.JsonReadException,N/A,addArrayContext(int index),N/A
com.dropbox.core.json.JsonReadException,N/A,addFieldContext(String fieldName),N/A
com.dropbox.core.json.JsonReadException,N/A,fromJackson(com.fasterxml.jackson.core.JsonProcessingException ex),N/A
com.dropbox.core.json.JsonReadException,N/A,getMessage(),N/A
com.dropbox.core.json.JsonReadException,N/A,"toStringLocation(StringBuilder buf,
                com.fasterxml.jackson.core.JsonLocation location)",N/A
com.dropbox.core.json.JsonReadException.PathPart,N/A,N/A,N/A
com.dropbox.core.json.JsonWriter,N/A,formatDate(Date date),N/A
com.dropbox.core.json.JsonWriter,N/A,"write(T value,
     com.fasterxml.jackson.core.JsonGenerator g)",N/A
com.dropbox.core.json.JsonWriter,N/A,"write(T value,
     com.fasterxml.jackson.core.JsonGenerator g,
     int level)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeDate(Date date,
         com.fasterxml.jackson.core.JsonGenerator g)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeDateIso(Date date,
            com.fasterxml.jackson.core.JsonGenerator g)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeFields(T value,
           com.fasterxml.jackson.core.JsonGenerator g)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeToFile(T value,
           File file)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeToFile(T value,
           File file,
           boolean indent)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeToFile(T value,
           String fileName)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeToFile(T value,
           String fileName,
           boolean indent)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeToStream(T value,
             OutputStream out)",N/A
com.dropbox.core.json.JsonWriter,N/A,"writeToStream(T value,
             OutputStream out,
             boolean indent)",N/A
com.dropbox.core.json.JsonWriter,N/A,writeToString(T value),N/A
com.dropbox.core.json.JsonWriter,N/A,"writeToString(T value,
             boolean indent)",N/A
com.dropbox.core.util.LangUtil,N/A,"arrayConcat(T[] a,
           T[] b)",N/A
com.dropbox.core.util.LangUtil,N/A,badType(Object a),N/A
com.dropbox.core.util.LangUtil,N/A,"mkAssert(String messagePrefix,
        Throwable cause)",N/A
com.dropbox.core.util.LangUtil,N/A,"nullableEquals(T a,
              T b)",N/A
com.dropbox.core.util.LangUtil,N/A,nullableHashCode(Object o),N/A
com.dropbox.core.util.LangUtil,N/A,truncateMillis(Date date),N/A
com.dropbox.core.util.LangUtil,N/A,truncateMillis(List<Date> dates),N/A
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",asyncJobId(String value),"Returns an instance of LaunchEmptyResult that has its tag set to
 LaunchEmptyResult.Tag.ASYNC_JOB_ID."
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",equals(Object obj),N/A
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",getAsyncJobIdValue(),This response indicates that the processing is asynchronous.
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",hashCode(),N/A
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",isAsyncJobId(),"Returns true if this instance has the tag LaunchEmptyResult.Tag.ASYNC_JOB_ID, false otherwise."
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",isComplete(),"Returns true if this instance has the tag LaunchEmptyResult.Tag.COMPLETE,
 false otherwise."
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",tag(),Returns the tag for this instance.
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",toString(),N/A
com.dropbox.core.v2.async.LaunchEmptyResult,"Result returned by methods that may either launch an asynchronous job or
 complete synchronously. Upon synchronous completion of the job, no additional
 information is returned.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.async.LaunchEmptyResult.Serializer,For internal use only.,deserialize(com.fasterxml.jackson.core.JsonParser p),N/A
com.dropbox.core.v2.async.LaunchEmptyResult.Serializer,For internal use only.,"serialize(LaunchEmptyResult value,
         com.fasterxml.jackson.core.JsonGenerator g)",N/A
com.dropbox.core.v2.async.LaunchEmptyResult.Tag,Discriminating tag type for LaunchEmptyResult.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.async.LaunchEmptyResult.Tag,Discriminating tag type for LaunchEmptyResult.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",asyncJobId(String value),"Returns an instance of LaunchResultBase that has its tag set to
 LaunchResultBase.Tag.ASYNC_JOB_ID."
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",equals(Object obj),N/A
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",getAsyncJobIdValue(),This response indicates that the processing is asynchronous.
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",hashCode(),N/A
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",isAsyncJobId(),"Returns true if this instance has the tag LaunchResultBase.Tag.ASYNC_JOB_ID, false otherwise."
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",tag(),Returns the tag for this instance.
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",toString(),N/A
com.dropbox.core.v2.async.LaunchResultBase,"Result returned by methods that launch an asynchronous job. A method who may
 either launch an asynchronous job, or complete the request synchronously, can
 use this union by extending it, and adding a 'complete' field with the type
 of the synchronous response. See LaunchEmptyResult for an example.

  This class is a tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. ",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.async.LaunchResultBase.Serializer,For internal use only.,deserialize(com.fasterxml.jackson.core.JsonParser p),N/A
com.dropbox.core.v2.async.LaunchResultBase.Serializer,For internal use only.,"serialize(LaunchResultBase value,
         com.fasterxml.jackson.core.JsonGenerator g)",N/A
com.dropbox.core.v2.async.LaunchResultBase.Tag,Discriminating tag type for LaunchResultBase.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.async.LaunchResultBase.Tag,Discriminating tag type for LaunchResultBase.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.LinkMetadata,"Metadata for a shared link. This can be either a PathLinkMetadata or
 CollectionLinkMetadata.",equals(Object obj),N/A
com.dropbox.core.v2.sharing.LinkMetadata,"Metadata for a shared link. This can be either a PathLinkMetadata or
 CollectionLinkMetadata.",getExpires(),"Expiration time, if set."
com.dropbox.core.v2.sharing.LinkMetadata,"Metadata for a shared link. This can be either a PathLinkMetadata or
 CollectionLinkMetadata.",getUrl(),URL of the shared link.
com.dropbox.core.v2.sharing.LinkMetadata,"Metadata for a shared link. This can be either a PathLinkMetadata or
 CollectionLinkMetadata.",getVisibility(),Who can access the link.
com.dropbox.core.v2.sharing.LinkMetadata,"Metadata for a shared link. This can be either a PathLinkMetadata or
 CollectionLinkMetadata.",hashCode(),N/A
com.dropbox.core.v2.sharing.LinkMetadata,"Metadata for a shared link. This can be either a PathLinkMetadata or
 CollectionLinkMetadata.",toString(),N/A
com.dropbox.core.v2.sharing.LinkMetadata,"Metadata for a shared link. This can be either a PathLinkMetadata or
 CollectionLinkMetadata.",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,equals(Object obj),N/A
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,getCanRevoke(),Whether the caller can revoke the shared link
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,getRequestedVisibility(),The shared link's requested visibility.
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,getResolvedVisibility(),"The current visibility of the link after considering the shared links
 policies of the the team (in case the link's owner is part of a team) and
 the shared folder (in case the linked file is part of a shared folder)."
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,getRevokeFailureReason(),The failure reason for revoking the link.
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,hashCode(),N/A
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,newBuilder(boolean canRevoke),Returns a new builder for creating an instance of this class.
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,toString(),N/A
com.dropbox.core.v2.sharing.LinkPermissions,Builder for LinkPermissions.,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.LinkPermissions.Builder,Builder for LinkPermissions.,build(),"Builds an instance of LinkPermissions configured with this
 builder's values"
com.dropbox.core.v2.sharing.LinkPermissions.Builder,Builder for LinkPermissions.,withRequestedVisibility(RequestedVisibility requestedVisibility),Set value for optional field.
com.dropbox.core.v2.sharing.LinkPermissions.Builder,Builder for LinkPermissions.,withResolvedVisibility(ResolvedVisibility resolvedVisibility),Set value for optional field.
com.dropbox.core.v2.sharing.LinkPermissions.Builder,Builder for LinkPermissions.,withRevokeFailureReason(SharedLinkAccessFailureReason revokeFailureReason),Set value for optional field.
com.dropbox.core.v2.sharing.ListFileMembersBatchResult,"Per-file result for DbxUserSharingRequests.listFileMembersBatch(java.util.List,long).",equals(Object obj),N/A
com.dropbox.core.v2.sharing.ListFileMembersBatchResult,"Per-file result for DbxUserSharingRequests.listFileMembersBatch(java.util.List,long).",getFile(),"This is the input file identifier, whether an ID or a path."
com.dropbox.core.v2.sharing.ListFileMembersBatchResult,"Per-file result for DbxUserSharingRequests.listFileMembersBatch(java.util.List,long).",getResult(),The result for this particular file
com.dropbox.core.v2.sharing.ListFileMembersBatchResult,"Per-file result for DbxUserSharingRequests.listFileMembersBatch(java.util.List,long).",hashCode(),N/A
com.dropbox.core.v2.sharing.ListFileMembersBatchResult,"Per-file result for DbxUserSharingRequests.listFileMembersBatch(java.util.List,long).",toString(),N/A
com.dropbox.core.v2.sharing.ListFileMembersBatchResult,"Per-file result for DbxUserSharingRequests.listFileMembersBatch(java.util.List,long).",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.ListFileMembersBuilder,"The request builder returned by DbxUserSharingRequests.listFileMembersBuilder(java.lang.String).

  Use this class to set optional request parameters and complete the
 request. ",start(),Issues the request.
com.dropbox.core.v2.sharing.ListFileMembersBuilder,"The request builder returned by DbxUserSharingRequests.listFileMembersBuilder(java.lang.String).

  Use this class to set optional request parameters and complete the
 request. ",withActions(List<MemberAction> actions),Set value for optional field.
com.dropbox.core.v2.sharing.ListFileMembersBuilder,"The request builder returned by DbxUserSharingRequests.listFileMembersBuilder(java.lang.String).

  Use this class to set optional request parameters and complete the
 request. ",withIncludeInherited(Boolean includeInherited),Set value for optional field.
com.dropbox.core.v2.sharing.ListFileMembersBuilder,"The request builder returned by DbxUserSharingRequests.listFileMembersBuilder(java.lang.String).

  Use this class to set optional request parameters and complete the
 request. ",withLimit(Long limit),Set value for optional field.
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",accessError(SharingFileAccessError value),"Returns an instance of ListFileMembersContinueError that has its
 tag set to ListFileMembersContinueError.Tag.ACCESS_ERROR."
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getAccessErrorValue(),This instance must be tagged as ListFileMembersContinueError.Tag.ACCESS_ERROR.
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getUserErrorValue(),This instance must be tagged as ListFileMembersContinueError.Tag.USER_ERROR.
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",hashCode(),N/A
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isAccessError(),"Returns true if this instance has the tag ListFileMembersContinueError.Tag.ACCESS_ERROR, false otherwise."
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isInvalidCursor(),"Returns true if this instance has the tag ListFileMembersContinueError.Tag.INVALID_CURSOR, false otherwise."
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isOther(),"Returns true if this instance has the tag ListFileMembersContinueError.Tag.OTHER,
 false otherwise."
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isUserError(),"Returns true if this instance has the tag ListFileMembersContinueError.Tag.USER_ERROR,
 false otherwise."
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tag(),Returns the tag for this instance.
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toString(),N/A
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.ListFileMembersContinueError,"Error for DbxUserSharingRequests.listFileMembersContinue(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",userError(SharingUserError value),"Returns an instance of ListFileMembersContinueError that has its
 tag set to ListFileMembersContinueError.Tag.USER_ERROR."
com.dropbox.core.v2.sharing.ListFileMembersContinueError.Tag,Discriminating tag type for ListFileMembersContinueError.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.ListFileMembersContinueError.Tag,Discriminating tag type for ListFileMembersContinueError.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.ListFileMembersContinueErrorException,"Exception thrown when the server responds with a ListFileMembersContinueError error.

  This exception is raised by DbxUserSharingRequests.listFileMembersContinue(String). ",N/A,N/A
com.dropbox.core.v2.sharing.ListFileMembersCountResult,The number of members on this file.,equals(Object obj),N/A
com.dropbox.core.v2.sharing.ListFileMembersCountResult,The number of members on this file.,getMemberCount(),The number of members on this file.
com.dropbox.core.v2.sharing.ListFileMembersCountResult,The number of members on this file.,getMembers(),A list of members on this file.
com.dropbox.core.v2.sharing.ListFileMembersCountResult,The number of members on this file.,hashCode(),N/A
com.dropbox.core.v2.sharing.ListFileMembersCountResult,The number of members on this file.,toString(),N/A
com.dropbox.core.v2.sharing.ListFileMembersCountResult,The number of members on this file.,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",accessError(SharingFileAccessError value),"Returns an instance of ListFileMembersError that has its tag set
 to ListFileMembersError.Tag.ACCESS_ERROR."
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getAccessErrorValue(),This instance must be tagged as ListFileMembersError.Tag.ACCESS_ERROR.
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",getUserErrorValue(),This instance must be tagged as ListFileMembersError.Tag.USER_ERROR.
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",hashCode(),N/A
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isAccessError(),"Returns true if this instance has the tag ListFileMembersError.Tag.ACCESS_ERROR, false otherwise."
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isOther(),"Returns true if this instance has the tag ListFileMembersError.Tag.OTHER,
 false otherwise."
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",isUserError(),"Returns true if this instance has the tag ListFileMembersError.Tag.USER_ERROR,
 false otherwise."
com.dropbox.core.v2.sharing.ListFileMembersError,"Error for DbxUserSharingRequests.listFileMembers(String).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",tag(),Returns the tag for this instance.
