class_name,class_description,method,method_description,return_type
pages,N/A - VK has no Class Descriptions,gettitles,Returns a list of wiki pages in a group.,"Returns an array of page objects, each containing the following fields: 

pid — Page ID. 
title — Page title. 
group_id — Community ID. 
creator_id — ID of the page creator. 
created — Page creation date. 
editor_id — ID of the last user who edited the page. 
editor_name — Name of the last user who edited the page. 
edited — Date of the last change. 
who_can_view — Who can view the wiki page (0 — only community managers, 1 — only community members, 2 — all users). 
who_can_edit — Who can edit the wiki page (0 — only community managers, 1 — only community members, 2 — all users). "
pages,N/A - VK has no Class Descriptions,getversion,Returns the text of one of the previous versions of a wiki page.,"Returns a page object containing the following fields: 

hid — Page version ID. 
pid — Page ID. 
group_id — Community ID. 
creator_id — Page creator ID. 
title — Page title. 
source — Text of the wiki page. 
current_user_can_edit — Whether the current user can edit page text (0 — cannot, 1 — can). 
who_can_view — Who can view the wiki page (0 — only community managers, 1 — only community members, 2 — all users). 
who_can_edit — Who can edit the wiki page (0 — only community managers, 1 — only community members, 2 — all users). 
version_created — Version creation date. 
parent — Title of the parent page for navigation, if any. 
parent2 — Title of the second parent page for navigation, if any. "
pages,N/A - VK has no Class Descriptions,parsewiki,Returns HTML representation of the wiki markup.,Returns escaped HTML code corresponding to the wiki markup. 
pages,N/A - VK has no Class Descriptions,save,Saves the text of a wiki page.,Returns the ID of the created wiki page (id). 
pages,N/A - VK has no Class Descriptions,saveaccess,Saves modified read and edit access settings for a wiki page.,Returns the ID of the edited wiki page (id). 
photos,N/A - VK has no Class Descriptions,confirmtag,Confirms a tag on a photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,copy,"Allows to copy a photo to the ""Saved photos"" album",Returns the created photo ID. 
photos,N/A - VK has no Class Descriptions,createalbum,Creates an empty photo album.,"Returns an object containing the following fields: 

aid — ID of the created album. 
thumb_id — ID of the album cover photo. 
owner_id — ID of the user or community that owns the album. 
title — Album title. 
description — Album description. 
created — Date (in Unix time) when the album was created. 
updated — Date (in Unix time) the album was last updated. 
size — Number of photos in the album. 
privacy — Privacy settings for viewing the album. 
comment_privacy — Privacy settings for commenting on the album. "
photos,N/A - VK has no Class Descriptions,createcomment,Adds a new comment on the photo.,Returns the ID of the created comment (cid). 
photos,N/A - VK has no Class Descriptions,delete,Deletes a photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,deletealbum,Deletes a photo album belonging to the current user.,Returns 1. 
photos,N/A - VK has no Class Descriptions,deletecomment,Deletes a comment on the photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,edit,Edits the caption of a photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,editalbum,Edits information about a photo album.,Returns 1. 
photos,N/A - VK has no Class Descriptions,editcomment,Edits a comment on a photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,get,Returns a list of a user's or community's photos.,"Returns a list of photo objects. 
If location is attached to a photo, also returns lat and long fields, containing geographical coordinates mark. 
If extended is set to 1, returns the following additional fields: 

likes — Number of likes and information whether the current user liked the photo. 
comments — Number of comments on the photo. 
tags — Number of tags on the photo. 
can_comment — Whether the current user can comment on the photo (1 — can, 0 — cannot). 

If photo_sizes is set to 1, returns photo sizes in a special format instead of width and height fields. "
photos,N/A - VK has no Class Descriptions,getalbums,Returns a list of a user's or community's photo albums.,"Returns an array of album objects, each containing the following fields: 

aid — Album ID. 
thumb_id — ID of the album cover photo. 
owner_id — ID of the user or community that owns the album. 
title — Album title. 
description — Album description. 
created — Date (in Unix time) the album was created. 
updated — Date (in Unix time) the album was last updated. 
size — Number of photos in the album. 
privacy — Privacy settings for viewing the album. 
thumb_src — (If need_covers was specified) Link to the album cover photo. "
photos,N/A - VK has no Class Descriptions,getalbumscount,Returns the number of photo albums belonging to a user or community.,Returns the number of photo albums belonging to the user or community (considering privacy settings). 
photos,N/A - VK has no Class Descriptions,getall,"Returns a list of photos belonging to a user or community, in reverse chronological order.","Returns a list of photo objects. 
If extended is set to 1, returns the likes field: 

user_likes – 1 – current user likes the photo, 0 – not specified. 
count – number of likes for the photo. 
If photo_sizes is set to 1, returns photo sizes in a special format instead of width and height fields. 
If need_hidden is set to 1, each photo object will contain hidden=1 if a photo is hidden from a block above the wall. 
If skip_hidden is set to 1 the response object will contain more either 1 or 0, meaning there more pages available or not. Also, each photo object will contain real_offset field, meaning the real position of photo in system album ""all"". You should set a greatest received value from real_offset as offset for the next page request. "
photos,N/A - VK has no Class Descriptions,getallcomments,Returns a list of comments on a specific photo album or all albums of the user sorted in reverse chronological order.,"Returns an array of comment objects, each containing the following fields: 

cid — Comment ID. 
from_id — Comment author ID. 
date — Date (in Unix time) the comment was added. 
message — Comment text. 
pid — ID of the photo to which the comment was added. "
photos,N/A - VK has no Class Descriptions,getbyid,Returns information about photos by their IDs.,"Returns a list of photo objects. 
If extended is set to 1, returns the following additional fields: 

likes — Number of likes and information whether the current user liked the photo. 
comments — Number of comments on the photo. 
tags — Number of tags on the photo. 
can_comment — Whether the current user can comment on the photo (1 — can, 0 — cannot). 

If photo_sizes is set to 1, returns photo sizes in a special format instead of width and height fields. "
photos,N/A - VK has no Class Descriptions,getchatuploadserver,Returns an upload link for chat cover pictures.,Returns an object with an upload_url field. 
photos,N/A - VK has no Class Descriptions,getcomments,Returns a list of comments on a photo.,"Returns a list of comment objects. 
If need_likes is set to 1, returns an additional likes field containing the following subfields: 

count — Number of users who liked the comment. 
user_likes — Whether the current user liked the comment (0 — not liked, 1 — liked). 
can_like — Whether the current user can like the comment (0 — cannot, 1 — can). "
photos,N/A - VK has no Class Descriptions,getmarketalbumuploadserver,Returns the server address for market album photo upload.,Returns the object containing upload_url field with the server address. 
photos,N/A - VK has no Class Descriptions,getmarketuploadserver,Returns the server address for market photo upload.,Returns the object containing upload_url field with the server address. 
photos,N/A - VK has no Class Descriptions,getmessagesuploadserver,Returns the server address for photo upload in a private message for a user.,"Returns an object with an upload_url, album_id and group_id (for community messages) fields. "
photos,N/A - VK has no Class Descriptions,getnewtags,Returns a list of photos with tags that have not been viewed.,"Returns a list of photo objects with the following additional fields: 

placer_id — ID of the user who added the tag. 
tag_created — Tag creation date (in Unix time). 
tag_id — Tag ID. "
photos,N/A - VK has no Class Descriptions,getownercoverphotouploadserver,Receives server address for uploading community cover.,Returns an object with the only upload_url field. 
photos,N/A - VK has no Class Descriptions,getownerphotouploadserver,Returns an upload server address for a profile or community photo.,If executed successfully returns upload_url. 
photos,N/A - VK has no Class Descriptions,gettags,Returns a list of tags on a photo.,"Returns an array of tag objects, each containing the following fields: 

uid — ID of the user to whom the tag corresponds. 
tag_id — Tag ID. 
placer_id — ID of the user who added the tag. 
tagged_name — Tag name. 
date — Date (in Unix time) the tag was added. 
x, y, x2, y2 — Coordinates of the rectangular area where the tag was added (upper left corner and lower right corner). 
viewed — Tag status (1 — confirmed, 0 — not confirmed). "
photos,N/A - VK has no Class Descriptions,getuploadserver,Returns the server address for photo upload.,Returns an object with upload_url and aid fields. 
photos,N/A - VK has no Class Descriptions,getuserphotos,Returns a list of photos in which a user is tagged.,"Returns a list of photo objects. 
If extended is set to 1, returns the following additional fields: 

likes — Number of likes and information whether the current user liked the photo. 
comments — Number of comments on the photo. 
tags — Number of tags on the photo. 
can_comment — Whether the current user can comment the photo (1 — can, 0 — cannot). 

If photo_sizes is set to 1, returns photo sizes in a special format instead of width and height fields. "
photos,N/A - VK has no Class Descriptions,getwalluploadserver,Returns the server address for photo upload onto a user's wall.,Returns an object with an upload_url field. 
photos,N/A - VK has no Class Descriptions,makecover,Makes a photo into an album cover.,Returns 1. 
photos,N/A - VK has no Class Descriptions,move,Moves a photo from one album to another.,Returns 1. 
photos,N/A - VK has no Class Descriptions,puttag,Adds a tag on the photo.,Returns the ID of the created tag. 
photos,N/A - VK has no Class Descriptions,removetag,Removes a tag from a photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,reorderalbums,Reorders the album in the list of user albums.,Returns 1. 
photos,N/A - VK has no Class Descriptions,reorderphotos,Reorders the photo in the list of photos of the user album.,Returns 1. 
photos,N/A - VK has no Class Descriptions,report,"Reports (submits a complaint about) a photo. 
",Returns 1. 
photos,N/A - VK has no Class Descriptions,reportcomment,"Reports (submits a complaint about) a comment on a photo. 
",Returns 1. 
photos,N/A - VK has no Class Descriptions,restore,Restores a deleted photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,restorecomment,Restores a deleted comment on a photo.,Returns 1. 
photos,N/A - VK has no Class Descriptions,save,Saves photos after successful uploading.,Returns a list of photo objects. 
photos,N/A - VK has no Class Descriptions,savemarketalbumphoto,Saves market album photos after successful uploading.,Returns a photo object. 
photos,N/A - VK has no Class Descriptions,savemarketphoto,Saves market photos after successful uploading.,Returns a photo object. 
photos,N/A - VK has no Class Descriptions,savemessagesphoto,Saves a photo after being successfully uploaded. URL obtained with photos.getMessagesUploadServer method.,"Returns an array with the uploaded photo, the returned object contains id, pid, aid, owner_id, src, src_big, src_small, created fields. In case there are high-resolution photos, addresses with src_xbig and src_xxbig names will also be returned. "
photos,N/A - VK has no Class Descriptions,saveownercoverphoto,Saves cover photo after successful uploading.,"Returns an images array with objects describing copies of the photo uploaded. Each object contains following fields: 

url (string) — copy URL; 
width (integer) — copy width in px; 
height (integer) — copy height in px. 
"
photos,N/A - VK has no Class Descriptions,saveownerphoto,Saves  a profile or community photo.,"If executed successfully, returns an object with photo_hash and photo_src fields (if VK.api is used, method will return photo_src, photo_src_big and photo_src_small fields). 
photo_hash parameter is required for Javascript API saveProfilePhoto method. photo_src contains a path to the uploaded photo. "
photos,N/A - VK has no Class Descriptions,savewallphoto,Saves a photo to a user's or community's wall after being uploaded.,If executed successfully returns an array with uploaded photo. 
photos,N/A - VK has no Class Descriptions,search,Returns a list of photos.,Returns a list of photo objects. 
podcasts,N/A - VK has no Class Descriptions,clearrecentsearches,N/A,N/A
podcasts,N/A - VK has no Class Descriptions,getpopular,N/A,N/A
podcasts,N/A - VK has no Class Descriptions,getrecentsearchrequests,N/A,N/A
podcasts,N/A - VK has no Class Descriptions,search,N/A,N/A
polls,N/A - VK has no Class Descriptions,addvote,Adds the current user's vote to the selected answer in the poll.,"Returns one of the following values: 

1 — Vote was added to the selected answer. 
0 — User has already voted in this poll. 
"
polls,N/A - VK has no Class Descriptions,create,Creates polls that can be attached to the users' or communities' posts.,"If executed successfully, a poll object is returned. "
polls,N/A - VK has no Class Descriptions,deletevote,Deletes the current user's vote from the selected answer in the poll.,"Returns one of the following values: 

1 — Vote was removed from the selected answer. 
0 — Either the user has not yet voted or the answer specified was not selected by the user. 
"
polls,N/A - VK has no Class Descriptions,edit,Edits created polls,"If successfully executed, returns 1. "
polls,N/A - VK has no Class Descriptions,getbackgrounds,Return default backgrounds for polls.,"Returns an array of objects describing backgrounds. Each object contains following fields: 

type (string) — background type. Possible values: gradient, tile. 
angle (integer) — (for type = gradient) gradient angle for X axe. 
color (string) — HEX-code for alternative color (without #). 
width (integer) — (for type = tile) tile's width. 
height (integer) — (for type = tile) tile's height. 
images (array) — (for type = tile) tile's image. Image object array. 
points (array) — (for type = gradient) gradient's points. Array of objects containing  position (number) field  and color (string) field. 
id (integer) — background ID. 
"
polls,N/A - VK has no Class Descriptions,getbyid,Returns detailed information about a poll by its ID.,"Returns an object that contains the following fields: 

owner_id — Poll owner ID. 
poll_id — Poll ID. 
created — Date (in Unix time) the poll was created. 
question — Text of the question. 
votes — Total users who voted. 
answer_id — ID of the current user's answer; if the user has not yet participated in the poll, then 0. 
answers — Array with objects containing answer choices for the poll question: 

id — Answer ID. 
text — Text of the answer. 
votes — Number of users who voted for this answer. 
rate — Rating of this answer as a percentage. 

"
polls,N/A - VK has no Class Descriptions,getphotouploadserver,Returns a URL for uploading a photo to a poll.,Returns an object with the only upload_url (string) field. 
polls,N/A - VK has no Class Descriptions,getvoters,Returns a list of IDs of users who selected specific answers in the poll.,"For each answer, returns an object that contains the following fields: 

answer_id — Answer ID. 
users — A list of user IDs — considering offset and count parameters — of those who voted for this answer. 

If the fields parameter is used, returns an array of user objects, each containing a set of fields defined by the fields parameter. The uid, first_name, last_name, lists, and online fields are always returned, regardless of the selected fields. 
"
polls,N/A - VK has no Class Descriptions,savephoto,Allows to save poll's uploaded photo.,Returns uploaded photo's ID. 
prettycards,N/A - VK has no Class Descriptions,create,N/A,N/A
prettycards,N/A - VK has no Class Descriptions,delete,N/A,N/A
prettycards,N/A - VK has no Class Descriptions,edit,N/A,N/A
prettycards,N/A - VK has no Class Descriptions,get,N/A,N/A
prettycards,N/A - VK has no Class Descriptions,getbyid,N/A,N/A
prettycards,N/A - VK has no Class Descriptions,getuploadurl,N/A,N/A
search,N/A - VK has no Class Descriptions,gethints,Allows the programmer to do a quick search for any substring.,"Returns an array of objects, each containing standard type, section, and description fields. 

If type is set to group, returns a list of group objects, as well as the following additional fields: 

section — Returns the object's type:  groups, events, or publics. 
description — Returns the object's description: type and number of members, e.g., Group, 269,136 members. 

If type is set to profiles, returns a list of user objects, as well as the following additional fields: 

section — Returns the object's type: people, friends, or mutual friends. 
description — Returns the object's description: 

If section is set to people or friends, returns university name or city. 
If section is set to mutual friends, returns N mutual friends. 
For the current user profile, returns That's you. 



 
"
stats,N/A - VK has no Class Descriptions,get,Returns statistics of a community or an application.,"Returns an array of period objects, each containing the following fields: 

day — Day as YYYY-MM-DD. 
views — Number of views. 
visitors — Number of unique visitors. 
reach — Full coverage. 
reach_subscribers — Followers coverage. 
sex — A list of structures describing statistics by sex. 
age — A list of structures describing statistics by age. 
sex_age — A list of structures describing statistics by sex and age. 
cities — A list of structures describing statistics by cities. 
countries — A list of structures describing statistics by countries. 

Structure in sex, age, sex_age, cities lists contains the following fields: 

visitors — Audience for value index. 
value — Meaning of demographic index. Meanings available: 

sex (f — female, m — male). 
age — One of the following intervals: 12-18, 18-21, 21-24, 24-27, 27-30, 30-35, 35-45, 45-100. 
sex_age — Combination of sex and age values, separated by "";"", e.g., m;21-24 
cities — City ID or other for other cities. 

name — Literal name for the meaning in value (only for cities). 
 "
stats,N/A - VK has no Class Descriptions,getpostreach,Returns stats for a wall post.,"Returns stats data as an object with following fields: 


reach_subscribers - subscribers reach; 
reach_total - overall reach; 
links - link clicks; 
to_group - group visits; 
join_group - new members; 
report - number of complaints for a post; 
hide - number of people hidden a post; 
unsubscribe - number of people left community. 
"
stats,N/A - VK has no Class Descriptions,trackvisitor,Adds current session's data in the application statistics.,Returns 1. 
status,N/A - VK has no Class Descriptions,get,Returns data required to show the status of a user or community.,"Returns an object with a text field containing the text of the status of the user or community. 
If the user added broadcasting of the playing music in the status, and an audio file is currently playing, this method also returns a list of audio objects. 
 "
status,N/A - VK has no Class Descriptions,set,Sets a new status for the current user.,Returns 1. 
storage,N/A - VK has no Class Descriptions,get,Returns a value of variable with the name set by key parameter.,"Returns a value of one or more variables. If there is no variable on server, an empty string will be returned. "
storage,N/A - VK has no Class Descriptions,getkeys,Returns the names of all variables.,Returns an array of variables names. 
storage,N/A - VK has no Class Descriptions,set,Saves a value of variable with the name set by key parameter.,"Returns 1 if the variable is saved successfully. 
To delete the variable you shall pass a blank value in value parameter. 
"
stories,N/A - VK has no Class Descriptions,banowner,Allows to hide stories from chosen sources from current user's feed.,Returns 1. 
stories,N/A - VK has no Class Descriptions,delete,Allows to delete story.,Return 1. 
stories,N/A - VK has no Class Descriptions,get,Returns stories available for current user.,"Returns results number in count (integer) field and an array of stories objects arrays in items field. Each array (element of items array) is a collection of stories from one source. 
If extended = 1, returns additional fields profiles (array) with users and groups (array) with communities. "
stories,N/A - VK has no Class Descriptions,getbanned,Returns list of sources hidden from current user's feed.,"Returns total results number in count (integer) field and its IDs in  items (array) field. If extended = 1, items contains two fields: 

profiles (array) — objects describing users; 
groups (array) — objects describing communities. 
"
stories,N/A - VK has no Class Descriptions,getbyid,Returns story by its ID.,"Returns total results number in count (integer) field and story objects in  items (array) field. Note that seen field in story object will not be returned. 
If extended = 1, returns objects describing users in profiles (array) field and objects describing communities in groups (array). "
stories,N/A - VK has no Class Descriptions,getphotouploadserver,Returns URL for uploading a story with photo.,"Returns an object with following fields: 

upload_url (string) — upload URL; 
user_ids (integer) — users ID who can to see story. 
"
stories,N/A - VK has no Class Descriptions,getreplies,Returns replies to the story.,"Returns total results number in count (integer) fields and story objects in items (array) field. If extended = 1, returns objects describing users in profiles (array) field objects describing communities in groups (array) field. "
stories,N/A - VK has no Class Descriptions,getstats,Return statictics data for the story.,"Returns an object with following fields: 

views (object) — views. Contains following fields: 

state (string) — counter's availability (on — available, off — unavailable); 
count (integer) — counter's value; 

replies  (object) — replies to the story. Contains following fields: 

state (string) — counter's availability (on — available, off — unavailable); 
count (integer) — counter's value; 

answer  (object) — . Contains following fields: 

state (string) — counter's availability (on — available, off — unavailable); 
count (integer) — counter's value; 

shares  (object) — shares. Contains following fields: 

state (string) — counter's availability (on — available, off — unavailable); 
count (integer) — counter's value; 

subscribers (object) — new subscribers. Contains following fields: 

state (string) — counter's availability (on — available, off — unavailable); 
count (integer) — counter's value; 

bans  (object) — bans. Contains following fields: 

state (string) — counter's availability (on — available, off — unavailable); 
count (integer) — counter's value; 

open_link (object) — link's clicks. Contains following fields: 

state (string) — counter's availability (on — available, hidden — unavailable); 
count (integer) — counter's value; 

"
stories,N/A - VK has no Class Descriptions,getvideouploadserver,Allows to receive URL for uploading story with video.,"Returns an object with following fields: 

upload_url (string) — upload URL; 
user_ids (integer) — users ID who can to see story. 
"
stories,N/A - VK has no Class Descriptions,getviewers,Returns a list of story viewers.,"Returns total results number in count (integer) field in users IDs in items (array) field. If extended = 1, items (array) field contains an array of objects describing users. "
stories,N/A - VK has no Class Descriptions,hideallreplies,Hides all replies in the last 24 hours from the user to current user's stories.,Returns 1. 
stories,N/A - VK has no Class Descriptions,hidereply,Hides the reply to the current user's story.,Returns 1. 
stories,N/A - VK has no Class Descriptions,search,N/A,N/A
stories,N/A - VK has no Class Descriptions,sendinteraction,N/A,N/A
stories,N/A - VK has no Class Descriptions,unbanowner,Allows to show stories from hidden sources in current user's feed.,Returns 1. 
streaming,N/A - VK has no Class Descriptions,getserverurl,Allows to receive data for the connection to Streaming API.,"Returns an object with following fields: 

endpoint (string) — server host; 
key (string) — access key. Key has endless lifetime and revokes only then new key has been received. 
"
streaming,N/A - VK has no Class Descriptions,getsettings,Allows to receive monthly tier for Streaming API.,"Returns an object with the only monthly_limit (string) field containing values tier_1-tier_6 or unlimited, which corresponds to monthly tier. "
streaming,N/A - VK has no Class Descriptions,getstats,Allows to receive statistics for prepared and received events in Streaming API.,"Returns an array of objects, each contains following fields: 

event_type (string) — events type. Possible values: 

post — posts on wall; 
comment — comments; 
share — reposts. 

stats (array) — statistics values. Array of objects, each contains following fields: 

timestamp (integer) — timestamp for a value; 
value (integer) — value. 


"
streaming,N/A - VK has no Class Descriptions,getstem,N/A,N/A
streaming,N/A - VK has no Class Descriptions,setsettings,Allows to set monthly tier for Streaming API.,Returns 1. 
users,N/A - VK has no Class Descriptions,get,Returns detailed information on users.,"Returns a list of user objects. 
A deactivated field may be returned with the value deleted or banned if a user has been suspended. "
users,N/A - VK has no Class Descriptions,getfollowers,"Returns a list of IDs of followers of the user in question, sorted by date added, most recent first.",Returns a list of user objects. 
users,N/A - VK has no Class Descriptions,getsubscriptions,Returns a list of IDs of users and public pages followed by the user.,"Returns user and community objects, each containing the following fields: 

count — The number of results. 
items — The list of IDs of users/communities followed by the user. 

If extended is set to 1, returns a combined list of user objects and community objects. "
users,N/A - VK has no Class Descriptions,report,Reports (submits a complain about) a user.,"Returns 1. 
"
users,N/A - VK has no Class Descriptions,search,Returns a list of users matching the search criteria.,Returns a list of user objects. 
utils,N/A - VK has no Class Descriptions,checklink,Checks whether a link is blocked in VK.,"Returns a status field: 

not_banned – Link is not blocked. 
banned – Link is blocked. 
processing – Link is being checked; retry after several seconds. 

Also returns a link field containing the link as supplied or, if a URL to a link shortener was supplied, the full link. "
utils,N/A - VK has no Class Descriptions,deletefromlastshortened,Deletes shortened link from user's list.,Returns 1. 
utils,N/A - VK has no Class Descriptions,getlastshortenedlinks,Returns a list of user's shortened links.,"Returns links number in count (integer) field and items array of objects describing links. Each object contains following fields: 

timestamp (integer) — creation time in Unixtime; 
url (string) — full URL; 
short_url (string) — shortened URL; 
key (string) — link key (characters after ""vk.cc""); 
views (integer) — views number; 
access_key (string) — access key for private stats. 
"
utils,N/A - VK has no Class Descriptions,getlinkstats,Returns stats data for shortened link.,"Returns an object which contains key field with key value and stats array with the stats data. Each object in stats contains timestamp field with the start time, views field with total views number, and stats arrays: sex_age, countries, cities. 
Each object in sex_age array contains following fields: 

age_range (string) — age denotation; 
female (integer) — views by female users; 
male (integer) — views by male users 

Each object in countries (cities) array contains following fields: 

country_id (city_id) (integer) —  country (city) ID; 
views (integer) — views number. 
"
utils,N/A - VK has no Class Descriptions,getservertime,Returns the current time of the VK server.,Returns the current time (in Unix time). 
utils,N/A - VK has no Class Descriptions,getshortlink,Allows to receive a link shortened via vk.cc.,"Returns an object with following fields: 

short_url (string) — shortened URL; 
access_key (string) — access key for private stats; 
key (string) — link key (characters after ""vk.cc""); 
url (string) — full URL. 
"
utils,N/A - VK has no Class Descriptions,resolvescreenname,"Detects a type of object (e.g., user, community, application) and its ID by screen name.","Returns an object with following fields: 

type — Object type (user, group, application). 
object_id — Object ID. 

If screen_name is not specified, returns an empty object. "
video,N/A - VK has no Class Descriptions,add,Adds a video to a user or community page.,Returns 1 if executed successfully. 
video,N/A - VK has no Class Descriptions,addalbum,Creates an empty album for videos.,Returns the ID of the created album (album_id). 
video,N/A - VK has no Class Descriptions,addtoalbum,N/A,N/A
video,N/A - VK has no Class Descriptions,createcomment,Adds a new comment on a video.,Returns the ID of the created comment (cid). 
video,N/A - VK has no Class Descriptions,delete,Deletes a video from a user or community page.,Returns 1. 
video,N/A - VK has no Class Descriptions,deletealbum,Deletes a video album.,Returns 1. 
video,N/A - VK has no Class Descriptions,deletecomment,Deletes a comment on a video.,Returns 1. 
video,N/A - VK has no Class Descriptions,edit,Edits information about a video on a user or community page.,Returns 1. 
video,N/A - VK has no Class Descriptions,editalbum,Edits the title of a video album.,Returns 1. 
video,N/A - VK has no Class Descriptions,editcomment,Edits the text of a comment on a video.,Returns 1. 
video,N/A - VK has no Class Descriptions,get,Returns detailed information about videos.,"Returns a list of video objects with an additional comments field indicating the number of comments on the video. 
If extended is set to 1, returns the following additional fields: 

privacy_view — Privacy settings in a special format (only for the current user). 
privacy_comment — Comment privacy settings in a special format (only for the current user). 
can_comment — Whether the current user can comment on the video (1 — can, 0 — cannot). 
can_repost — Whether the current user can copy the video using the ""Share with friends"" feature (1 — can, 0 — cannot). 
likes — Information about likes: 

user_likes — Whether the current user liked the photo. 
count — Number of likes. 


 "
video,N/A - VK has no Class Descriptions,getalbumbyid,Returns video album info,"If executed successfully, returns an object containing following fields: 

id – album ID; 
owner_id – album owner ID; 
title – album title; 
count – number of videos in the album; 
photo_320 – URL of the album cover with 320px width; 
photo_169 – URL of the album cover with 169px width; 
updated_time – last update time in unixtime format. 
"
video,N/A - VK has no Class Descriptions,getalbums,Returns a list of video albums owned by a user or community.,"Returns the total number of video albums and an array of album objects, each containing the following fields: 

owner_id — Album owner ID. 
album_id — Album ID. 
title — Album title. 
"
video,N/A - VK has no Class Descriptions,getalbumsbyvideo,N/A,N/A
video,N/A - VK has no Class Descriptions,getcomments,Returns a list of comments on a video.,"Returns the total number of comments and an array of comment objects, each containing the following fields: 

id — Comment ID. 
from_id — Comment author ID. 
date — Date (in Unix time) the comment was added. 
message — Comment text. 
likes — (If need_likes is set to 1) Information about likes, containing the following subfields: 

count — Number of likes. 
user_likes — Whether the current user liked the comment. 
can_like — Whether the current user can like the comment (1 — can, 0 — cannot). "
video,N/A - VK has no Class Descriptions,removefromalbum,N/A,N/A
video,N/A - VK has no Class Descriptions,reorderalbums,Reorders the album in the list of user video albums.,Returns 1. 
video,N/A - VK has no Class Descriptions,reordervideos,Reorders the video in the video album.,
video,N/A - VK has no Class Descriptions,report,Reports (submits a complaint about) a video.,Returns 1. 
video,N/A - VK has no Class Descriptions,reportcomment,"Reports (submits a complaint about) a comment on a video. 
",Returns 1. 
video,N/A - VK has no Class Descriptions,restore,Restores a previously deleted video.,Returns 1. 
video,N/A - VK has no Class Descriptions,restorecomment,Restores a previously deleted comment on a video.,Returns 1. 
video,N/A - VK has no Class Descriptions,save,Returns a server address (required for upload) and video data.,"Returns an object with upload_url, vid, name, description, and owner_id fields. "
video,N/A - VK has no Class Descriptions,search,Returns a list of videos under the set search criterion.,"Returns a list of video objects. 
If you use direct authorization in your app, returns an additional files field, containing a link to the video file (if the video is placed on a VK server) or a link to an external site (if the video is integrated from another video hosting service). "
wall,N/A - VK has no Class Descriptions,checkcopyrightlink,N/A,N/A
wall,N/A - VK has no Class Descriptions,closecomments,N/A,N/A
wall,N/A - VK has no Class Descriptions,createcomment,Adds a comment to a post on a user wall or community wall.,Returns added comment ID in comment_id (integer) field and an array of parent comments in parent_stack (array) field. 
wall,N/A - VK has no Class Descriptions,delete,Deletes a post from a user wall or community wall.,Returns 1. 
wall,N/A - VK has no Class Descriptions,deletecomment,"Deletes a comment on a post on a user wall or community wall. 
","Returns 1. 
 "
wall,N/A - VK has no Class Descriptions,edit,Edits a post on a user wall or community wall.,Returns 1. 
wall,N/A - VK has no Class Descriptions,editadsstealth,Allows to edit hidden post.,Returns 1. 
wall,N/A - VK has no Class Descriptions,editcomment,"Edits a comment on a user wall or community wall. 
",Returns 1. 
wall,N/A - VK has no Class Descriptions,get,Returns a list of posts on a user wall or community wall.,"Returns a list of post objects. 
If extended is set to 1, also returns the following: 

wall — Contains a list of post objects. 
profiles — Contains user objects with additional fields photo and online. 
groups — Contains community objects. 

"
wall,N/A - VK has no Class Descriptions,getbyid,Returns a list of posts from user or community walls by their IDs.,"Returns a list of post objects. 
If extended is set to 1, returns the following: 

wall — Contains post objects. 
profiles — Contains user objects with additional fields  sex, photo, photo_medium_rec, and online. 
groups — Contains  community objects. 

If the post is a copy of another post, returns an additional array copy_history with information about original posts. 
"
wall,N/A - VK has no Class Descriptions,getcomment,Allows to obtain wall comment info.,Returns an object describing wall comment. If extended = 1 returns additional groups (array) and profiles (array) fields with users and communities data. 
wall,N/A - VK has no Class Descriptions,getcomments,Returns a list of comments on a post on a user wall or community wall.,"Returns total number of comments in count (integer) field and an array of comment objects in items (array) field. Additional fields are: 

current_level_count (integer) — number of comments. 
can_post (boolean) – true if current user can post comments in this thread. 
show_reply_button (boolean) – true if it is recommended to display ""reply"" button. 
groups_can_post (boolean) – true if groups can post comments in this thread. 

If need_likes is set to 1, returns an additional likes field containing the following: 

count — Number of users who liked the comment. 
user_likes — Whether the user liked the comment (0 — not liked, 1 — liked). 
can_like — Whether the user can like the comment (0 — cannot, 1 — can). 

"
wall,N/A - VK has no Class Descriptions,getreposts,Returns information about reposts of a post on user wall or community wall.,"Returns an object containing the following fields: 

items — An array of wall reposts. 
profiles — Information about  users with additional fields sex, online, photo, photo_medium_rec, and screen_name. 
groups — Information about communities. 

"
wall,N/A - VK has no Class Descriptions,opencomments,N/A,N/A
wall,N/A - VK has no Class Descriptions,pin,Pins the post on wall.,Returns 1. 
wall,N/A - VK has no Class Descriptions,post,Adds a new post on a user wall or community wall. Can also be used to publish suggested or scheduled posts.,Returns the ID of the created post (post_id). 
wall,N/A - VK has no Class Descriptions,postadsstealth,"Allows to create hidden post which will not be shown on the community's wall and can be used for creating an ad with type ""Community post"".",Returns the ID of the created post. 
wall,N/A - VK has no Class Descriptions,reportcomment,"Reports (submits a complaint about) a comment on a post on a user wall or community wall. 
",Returns 1. 
